kepid,kepoi_name,pp_host_rel_prob,pp_host_prob_score,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_starid,pp_2hi_rel_prob,pp_unk_rel_prob
11568987,K00354.02,6.70000e-01,0.780,KIC 11568987,6.70000e-01,UKIRT 44117905312997,2.50000e-01,1.9090000e-04
11709124,K00435.06,1.00000e+00,0.780,KIC 11709124,1.00000e+00,KIC 11709130,4.40000e-10,5.0530000e-05
11752632,K02492.01,1.00000e+00,0.780,KIC 11752632,1.00000e+00,KIC 11752634,4.30000e-11,4.7160000e-05
11967788,K04021.02,2.50000e-01,0.780,UKIRT 44117904681427,4.30000e-01,hiresKIC 22000850,3.30000e-01,1.4760000e-05
12121470,K02142.01,9.50000e-96,0.780,UKIRT 44117904451728,9.90000e-42,KIC 12121467,9.50000e-96,1.0000000e+00
12156347,K02588.01,1.00000e+00,0.780,KIC 12156347,1.00000e+00,KIC 12156350,8.20000e-05,6.2850000e-05
12602314,K02853.01,1.00000e+00,0.780,KIC 12602314,1.00000e+00,UKIRT 44117904242160,2.30000e-06,9.4000000e-05
12602999,K08082.01,1.00000e+00,0.780,KIC 12602999,1.00000e+00,UKIRT 44117904213432,1.10000e-06,1.3200000e-05
3645438,K04385.02,1.00000e+00,0.790,KIC 3645438,1.00000e+00,UKIRT 44117920096244,1.40000e-09,2.1470000e-05
5392897,K03342.01,1.00000e+00,0.790,KIC 5392897,1.00000e+00,,,3.0600000e-04
6878240,K02681.01,1.00000e+00,0.790,KIC 6878240,1.00000e+00,hiresKIC 22000407,8.00000e-10,3.7410000e-06
5436161,K04351.01,1.00000e+00,0.800,KIC 5436161,1.00000e+00,,,2.0660000e-06
6233483,K03291.01,0.00000e+00,0.800,KIC 6233466,1.00000e+00,KIC 6233483,0.00000e+00,1.9240000e-06
6105359,K08116.01,1.00000e+00,0.810,KIC 6105359,1.00000e+00,,,5.1860000e-05
6752502,K00667.01,1.00000e-02,0.810,UKIRT 44117914348596,9.90000e-01,KIC 6752502,1.00000e-02,6.2540000e-06
7695093,K06041.01,1.00000e+00,0.810,KIC 7695093,1.00000e+00,KIC 7695091,2.30000e-101,2.9060000e-06
1161949,K04920.01,6.20000e-01,0.820,KIC 1161949,6.20000e-01,KIC 1161966,3.80000e-01,1.9180000e-04
2305255,K04935.01,1.00000e+00,0.820,KIC 2305255,1.00000e+00,,,1.7150000e-04
2833632,K04954.01,1.00000e+00,0.820,KIC 2833632,1.00000e+00,,,1.0820000e-03
3239945,K00490.02,1.00000e+00,0.820,KIC 3239945,1.00000e+00,hiresKIC 22000052,1.00000e-13,1.6720000e-06
3341982,K04974.01,8.30000e-01,0.820,KIC 3341982,8.30000e-01,hiresKIC 22000057,1.70000e-01,6.9930000e-05
3354846,K02444.01,1.00000e+00,0.820,KIC 3354846,1.00000e+00,KIC 3354840,9.10000e-17,1.5270000e-04
3540873,K04986.01,4.90000e-01,0.820,hiresKIC 22000068,5.10000e-01,KIC 3540873,4.90000e-01,3.3260000e-05
3558849,K04307.01,1.00000e+00,0.820,KIC 3558849,1.00000e+00,KIC 3558856,1.10000e-03,3.4770000e-04
3968809,K05030.01,6.40000e-01,0.820,KIC 3968809,6.40000e-01,hiresKIC 22000094,3.60000e-01,5.2960000e-05
3974928,K05033.01,8.20000e-01,0.820,KIC 3974928,8.20000e-01,KIC 3974929,1.30000e-01,7.1650000e-04
4068391,K05036.01,1.00000e+00,0.820,KIC 4068391,1.00000e+00,KIC 4068383,2.80000e-36,1.8330000e-04
4464689,K05063.01,1.00000e+00,0.820,KIC 4464689,1.00000e+00,KIC 4464690,5.00000e-84,3.9010000e-03
4484179,K05068.01,9.90000e-01,0.820,KIC 4484179,9.90000e-01,UKIRT 44117918909234,1.20000e-02,5.4280000e-05
4754831,K04365.03,9.90000e-01,0.820,KIC 4754831,9.90000e-01,UKIRT 44117917840243,1.10000e-02,8.4070000e-05
4770798,K05087.01,8.20000e-01,0.820,KIC 4770798,8.20000e-01,UKIRT 44117918068394,1.70000e-01,2.0610000e-03
4819158,K05091.01,7.70000e-01,0.820,KIC 4819158,7.70000e-01,,,2.2620000e-01
4862625,K06464.03,2.70000e-01,0.820,hiresKIC 22000161,7.30000e-01,KIC 4862625,2.70000e-01,5.8620000e-06
4902202,K04717.01,1.00000e+00,0.820,KIC 4902202,1.00000e+00,,,8.0060000e-05
4950341,K06482.01,4.60000e-01,0.820,KIC 4950341,4.60000e-01,hiresKIC 22000177,3.90000e-01,1.6680000e-05
5078939,K02438.01,1.00000e-95,0.820,KIC 5078939,1.00000e-95,,,1.0000000e+00
5112198,K06522.01,1.00000e+00,0.820,KIC 5112198,1.00000e+00,KIC 5112212,8.40000e-04,1.5220000e-04
5391911,K05157.01,2.30000e-53,0.820,UKIRT 44117917496045,1.00000e+00,UKIRT 44117917496046,3.80000e-09,3.6490000e-05
5439000,K05165.01,9.70000e-01,0.820,KIC 5439000,9.70000e-01,KIC 5438995,1.20000e-67,3.4840000e-02
5709226,K08104.01,9.70000e-01,0.820,KIC 5709226,9.70000e-01,KIC 5709216,1.30000e-17,2.8080000e-02
5794687,K05203.01,9.90000e-01,0.820,KIC 5794687,9.90000e-01,KIC 5794689,9.40000e-03,1.4440000e-04
5812648,K08108.01,1.00000e+00,0.820,KIC 5812648,1.00000e+00,KIC 5812658,0.00000e+00,1.8640000e-04
5858919,K08109.01,1.00000e+00,0.820,KIC 5858919,1.00000e+00,UKIRT 44117915946427,5.20000e-05,7.6210000e-05
5942949,K02525.01,1.00000e+00,0.820,KIC 5942949,1.00000e+00,,,1.1480000e-04
5965629,K05216.01,9.50000e-01,0.820,KIC 5965629,9.50000e-01,UKIRT 44117914653464,4.20000e-02,3.9940000e-03
6069674,K07761.01,7.30000e-01,0.820,KIC 6069674,7.30000e-01,UKIRT 44117915165378,2.70000e-01,2.3880000e-05
6119605,K08118.01,1.00000e+00,0.820,KIC 6119605,1.00000e+00,KIC 6119599,3.20000e-27,3.9900000e-05
6149980,K05244.01,1.00000e+00,0.820,KIC 6149980,1.00000e+00,KIC 6149970,3.40000e-08,3.9950000e-05
6209225,K06676.01,5.00000e-01,0.820,KIC 6209225,5.00000e-01,hiresKIC 22000337,5.00000e-01,1.2690000e-03
6363560,K05270.01,5.80000e-01,0.820,KIC 6363560,5.80000e-01,KIC 6363550,4.20000e-01,1.6610000e-05
6383785,K00239.01,1.00000e+00,0.820,KIC 6383785,1.00000e+00,KIC 6383768,3.40000e-101,7.1830000e-06
6516529,K08123.01,1.00000e+00,0.820,KIC 6516529,1.00000e+00,,,4.7130000e-05
6594945,K05300.01,9.60000e-01,0.820,KIC 6594945,9.60000e-01,UKIRT 44117913668223,3.40000e-02,4.8170000e-05
6690523,K05314.01,1.00000e+00,0.820,KIC 6690523,1.00000e+00,,,8.3610000e-05
6719052,K05320.01,1.00000e+00,0.820,KIC 6719052,1.00000e+00,UKIRT 44117913495690,1.70000e-30,2.6250000e-04
6866251,K02661.01,1.00000e+00,0.820,KIC 6866251,1.00000e+00,KIC 6866257,3.90000e-34,1.6820000e-05
6941084,K02348.01,1.00000e+00,0.820,KIC 6941084,1.00000e+00,,,1.1020000e-04
6956216,K03604.01,1.00000e+00,0.820,KIC 6956216,1.00000e+00,KIC 6956215,6.40000e-102,8.6560000e-07
7013635,K05343.01,1.00000e+00,0.820,KIC 7013635,1.00000e+00,,,1.9360000e-05
7041972,K05350.01,1.00000e+00,0.820,KIC 7041972,1.00000e+00,UKIRT 44117913306038,1.60000e-29,3.3430000e-05
7049771,K08132.01,1.60000e-20,0.820,KIC 7049771,1.60000e-20,KIC 7049755,0.00000e+00,1.0000000e+00
7185710,K08136.01,1.00000e+00,0.820,KIC 7185710,1.00000e+00,,,1.5620000e-05
7189825,K05366.01,1.00000e+00,0.820,KIC 7189825,1.00000e+00,,,1.0220000e-04
7199397,K00075.01,9.50000e-01,0.820,KIC 7199397,9.50000e-01,UKIRT 44117912681464,4.50000e-02,1.5070000e-04
7219825,K00238.03,1.00000e+00,0.820,KIC 7219825,1.00000e+00,UKIRT 44117913005403,6.90000e-07,5.0750000e-04
7429287,K04260.01,4.90000e-19,0.820,UKIRT 44117912287563,3.20000e-02,KIC 7429287,4.90000e-19,9.6770000e-01
7499571,K06883.01,1.00000e+00,0.820,KIC 7499571,1.00000e+00,,,4.7020000e-04
7503885,K03417.01,1.00000e+00,0.820,KIC 7503885,1.00000e+00,UKIRT 44117912573008,4.30000e-03,4.8900000e-05
7664272,K07845.01,9.90000e-01,0.820,KIC 7664272,9.90000e-01,KIC 7664262,1.30000e-97,6.7920000e-03
7672940,K01463.01,6.00000e-01,0.820,KIC 7672940,6.00000e-01,hiresKIC 22000461,4.00000e-01,1.1040000e-06
7676423,K03113.01,1.00000e+00,0.820,KIC 7676423,1.00000e+00,UKIRT 44117912350419,1.00000e-23,2.3210000e-05
7900727,K05443.01,1.00000e+00,0.820,KIC 7900727,1.00000e+00,,,4.3140000e-04
7936194,K08149.01,1.00000e+00,0.820,KIC 7936194,1.00000e+00,UKIRT 44117911897169,2.00000e-05,3.2790000e-06
8035322,K05464.01,1.00000e+00,0.820,KIC 8035322,1.00000e+00,,,8.6220000e-06
8044083,K05470.01,1.00000e+00,0.820,KIC 8044083,1.00000e+00,,,2.1200000e-05
8110733,K04708.01,1.00000e+00,0.820,KIC 8110733,1.00000e+00,UKIRT 44117910811146,4.10000e-15,1.0820000e-04
8158324,K06981.01,9.60000e-01,0.820,KIC 8158324,9.60000e-01,UKIRT 44117911293622,4.00000e-02,3.3750000e-04
8226720,K08154.01,1.00000e+00,0.820,KIC 8226720,1.00000e+00,UKIRT 44117911277762,2.10000e-03,5.7230000e-05
8264402,K04037.01,1.00000e+00,0.820,KIC 8264402,1.00000e+00,KIC 8264396,2.30000e-03,7.7930000e-05
8307489,K05502.01,3.90000e-01,0.820,KIC 8307493,6.10000e-01,KIC 8307489,3.90000e-01,8.0850000e-06
8351919,K05505.01,1.00000e+00,0.820,KIC 8351919,1.00000e+00,KIC 8351927,3.40000e-33,1.0050000e-04
8362974,K07023.01,1.00000e+00,0.820,KIC 8362974,1.00000e+00,KIC 8362989,5.10000e-07,1.6860000e-04
8439618,K05518.01,1.00000e+00,0.820,KIC 8439618,1.00000e+00,KIC 8439616,4.60000e-06,2.9240000e-03
